1.3.6.1.4.1.42.2.27.8.1.1	pwdAttribute
1.3.6.1.4.1.42.2.27.8.1.2	pwdMinAge
1.3.6.1.4.1.42.2.27.8.1.3	pwdMaxAge
1.3.6.1.4.1.42.2.27.8.1.4	pwdInHistory
1.3.6.1.4.1.42.2.27.8.1.5	pwdCheckQuality
1.3.6.1.4.1.42.2.27.8.1.6	pwdMinLength
1.3.6.1.4.1.42.2.27.8.1.7	pwdExpireWarning
1.3.6.1.4.1.42.2.27.8.1.8	pwdGraceAuthNLimit
1.3.6.1.4.1.42.2.27.8.1.9	pwdLockout
1.3.6.1.4.1.42.2.27.8.1.10	pwdLockoutDuration
1.3.6.1.4.1.42.2.27.8.1.11	pwdMaxFailure
1.3.6.1.4.1.42.2.27.8.1.12	pwdFailureCountInterval
1.3.6.1.4.1.42.2.27.8.1.13	pwdMustChange
1.3.6.1.4.1.42.2.27.8.1.14	pwdAllowUserChange
1.3.6.1.4.1.42.2.27.8.1.15	pwdSafeModify
1.3.6.1.4.1.42.2.27.8.1.16	pwdChangedTime
1.3.6.1.4.1.42.2.27.8.1.17	pwdAccountLockedTime
1.3.6.1.4.1.42.2.27.8.1.19	pwdFailureTime
1.3.6.1.4.1.42.2.27.8.1.20	pwdHistory
1.3.6.1.4.1.42.2.27.8.1.21	pwdGraceUseTime
1.3.6.1.4.1.42.2.27.8.1.22	pwdReset
1.3.6.1.4.1.42.2.27.8.1.23	pwdPolicySubentry
2.16.840.1.113730.3.1.5	changeNumber
2.16.840.1.113730.3.1.6	targetDN
2.16.840.1.113730.3.1.7	changeType
2.16.840.1.113730.3.1.8	changes
2.16.840.1.113730.3.1.9	newRDN
2.16.840.1.113730.3.1.10	deleteOldRDN
2.16.840.1.113730.3.1.11	newSuperior
2.16.840.1.113730.3.1.35	changelog
1.3.6.1.1.1.1.28	nisPublicKey
1.3.6.1.1.1.1.29	nisSecretKey
1.3.6.1.1.1.1.30	nisDomain
1.3.6.1.1.1.1.31	automountMapName
1.3.6.1.1.1.1.32	automountKey
1.3.6.1.1.1.1.33	automountInformation
1.3.6.1.4.1.453.16.2.103	numSubordinates
1.3.6.1.4.1.7628.5.4.1	inheritable
1.3.6.1.4.1.7628.5.4.2	blockInheritance
1.3.6.1.4.1.1466.101.120.1	administratorsAddress
2.16.840.1.113730.3.1.55	aci
2.16.840.1.113730.3.1.198	memberURL
2.16.840.1.113730.3.1.542	nsUniqueId
0.9.2342.19200300.100.1.2	textEncodedORAddress
0.9.2342.19200300.100.1.22	otherMailbox
0.9.2342.19200300.100.1.23	lastModifiedTime
0.9.2342.19200300.100.1.24	lastModifiedBy
0.9.2342.19200300.100.1.26	aRecord
0.9.2342.19200300.100.1.27	mDRecord
0.9.2342.19200300.100.1.28	mxRecord
0.9.2342.19200300.100.1.29	nSRecord
0.9.2342.19200300.100.1.30	sOARecord
0.9.2342.19200300.100.1.31	cNAMERecord
0.9.2342.19200300.100.1.46	janetMailbox
0.9.2342.19200300.100.1.47	mailPreferenceOption
0.9.2342.19200300.100.1.49	dSAQuality
0.9.2342.19200300.100.1.50	singleLevelQuality
0.9.2342.19200300.100.1.51	subtreeMinimumQuality
0.9.2342.19200300.100.1.52	subtreeMaximumQuality
0.9.2342.19200300.100.1.53	personalSignature
0.9.2342.19200300.100.1.54	dITRedirect
1.3.6.1.4.1.250.1.41	labeledURL
1.3.6.1.4.1.250.1.57	labeledURI
2.5.4.2	knowledgeInformation
2.5.4.29	presentationAddress
2.5.4.30	supportedApplicationContext
2.5.4.48	protocolInformation
2.5.4.54	dmdName
1.3.6.1.1.1.1.0	uidNumber
1.3.6.1.1.1.1.1	gidNumber
1.3.6.1.1.1.1.2	gecos
1.3.6.1.1.1.1.3	homeDirectory
1.3.6.1.1.1.1.4	loginShell
1.3.6.1.1.1.1.5	shadowLastChange
1.3.6.1.1.1.1.6	shadowMin
1.3.6.1.1.1.1.7	shadowMax
1.3.6.1.1.1.1.8	shadowWarning
1.3.6.1.1.1.1.9	shadowInactive
1.3.6.1.1.1.1.10	shadowExpire
1.3.6.1.1.1.1.11	shadowFlag
1.3.6.1.1.1.1.12	memberUid
1.3.6.1.1.1.1.13	memberNisNetgroup
1.3.6.1.1.1.1.14	nisNetgroupTriple
1.3.6.1.1.1.1.15	ipServicePort
1.3.6.1.1.1.1.16	ipServiceProtocol
1.3.6.1.1.1.1.17	ipProtocolNumber
1.3.6.1.1.1.1.18	oncRpcNumber
1.3.6.1.1.1.1.19	ipHostNumber
1.3.6.1.1.1.1.20	ipNetworkNumber
1.3.6.1.1.1.1.21	ipNetmaskNumber
1.3.6.1.1.1.1.22	macAddress
1.3.6.1.1.1.1.23	bootParameter
1.3.6.1.1.1.1.24	bootFile
1.3.6.1.1.1.1.26	nisMapName
1.3.6.1.1.1.1.27	nisMapEntry
1.2.840.113549.6.2.0	Changes
1.2.840.113549.6.2.1	OriginalObject
1.2.840.113549.6.2.2	signedDirectoryOperationSupport
1.3.6.1.4.1.42.2.27.4.1.6	javaClassName
1.3.6.1.4.1.42.2.27.4.1.7	javaCodebase
1.3.6.1.4.1.42.2.27.4.1.8	javaSerializedData
1.3.6.1.4.1.42.2.27.4.1.10	javaFactory
1.3.6.1.4.1.42.2.27.4.1.11	javaReferenceAddress
1.3.6.1.4.1.42.2.27.4.1.12	javaDoc
1.3.6.1.4.1.42.2.27.4.1.13	javaClassNames
1.3.6.1.4.1.42.2.27.4.1.14	corbaIor
1.3.6.1.4.1.42.2.27.4.1.15	corbaRepositoryId
1.2.840.113556.1.4.478	calCalURI
1.2.840.113556.1.4.479	calFBURL
1.2.840.113556.1.4.480	calCAPURI
1.2.840.113556.1.4.481	calCalAdrURI
